PRD_SRL_NO,PRD_CD,a4_processing_sec,lag_minutes,rail_event_count_after,rail_product_count_after,active_rail_count_after,waiting_event_count_after,waiting_p90_sec_after,room_mirror_rail_events_after,handle_rail_events_after
PRD1000-260304005-0001,PRD1000,809.502,5,247,6,4,4,29.7042,48,199
PRD1000-260304005-0001,PRD1000,809.502,10,478,6,4,9,99.21200000000005,54,424
PRD1000-260304005-0001,PRD1000,809.502,30,1163,7,4,19,627.9914,86,1077
PRD1000-260304009-0001,PRD1000,740.145,5,152,5,4,3,24.9242,3,149
PRD1000-260304009-0001,PRD1000,740.145,10,307,6,4,7,41.77240000000001,57,250
PRD1000-260304009-0001,PRD1000,740.145,30,1185,6,4,17,310.6682000000002,517,668
PRD1000-260305004-0002,PRD1000,747.065,5,273,3,4,4,42.444700000000005,33,240
PRD1000-260305004-0002,PRD1000,747.065,10,515,4,4,7,39.50620000000001,84,431
PRD1000-260305004-0002,PRD1000,747.065,30,993,4,4,13,46.51480000000001,146,847
PRD1000-260311020-0001,PRD1000,1031.743,5,458,9,4,6,166.428,31,427
PRD1000-260311020-0001,PRD1000,1031.743,10,971,9,4,11,50.051,49,922
PRD1000-260311020-0001,PRD1000,1031.743,30,2364,9,4,21,151.674,122,2242
PRD1000-260311020-0002,PRD1000,911.385,5,546,7,4,4,32.2054,18,528
PRD1000-260311020-0002,PRD1000,911.385,10,1017,9,4,11,50.051,45,972
PRD1000-260311020-0002,PRD1000,911.385,30,2696,9,4,26,129.4845,107,2589
PRD1000-260311022-0001,PRD1000,1021.233,5,493,8,4,4,35.333099999999995,22,471
PRD1000-260311022-0001,PRD1000,1021.233,10,1009,8,4,7,64.70880000000002,29,980
PRD1000-260311022-0001,PRD1000,1021.233,30,2149,8,4,16,129.4845,120,2029
PRD1000-260311025-0001,PRD1000,882.661,5,264,9,4,4,32.8382,9,255
PRD1000-260311025-0001,PRD1000,882.661,10,605,9,4,7,494.0794000000003,9,596
PRD1000-260311025-0001,PRD1000,882.661,30,2013,9,4,30,161.6695,52,1961
PRD1000-260311031-0001,PRD1000,1018.838,5,497,9,4,5,195.8108,136,361
PRD1000-260311031-0001,PRD1000,1018.838,10,1016,10,4,13,162.8784,258,758
PRD1000-260311031-0001,PRD1000,1018.838,30,2226,10,4,34,207.2398,481,1745
PRD1000-260311031-0002,PRD1000,919.666,5,601,7,4,3,91.661,153,448
PRD1000-260311031-0002,PRD1000,919.666,10,1185,10,4,9,85.54220000000001,161,1024
PRD1000-260311031-0002,PRD1000,919.666,30,3121,12,4,35,216.3316,632,2489
PRD1000-260312008-0001,PRD1000,1708.069,5,250,6,4,2,69.6057,119,131
PRD1000-260312008-0001,PRD1000,1708.069,10,543,9,4,4,1023.6769000000003,260,283
PRD1000-260312008-0001,PRD1000,1708.069,30,1584,10,4,13,462.5378000000003,573,1011
PRD1000-260421002-0001,PRD1000,727.138,5,324,6,4,4,28.351000000000003,0,324
PRD1000-260421002-0001,PRD1000,727.138,10,629,6,4,7,41.17300000000001,0,629
PRD1000-260421002-0001,PRD1000,727.138,30,992,6,4,9,34.891000000000005,0,992
PRD1000-260421002-0003,PRD1000,963.127,5,257,6,4,2,27.5755,0,257
PRD1000-260421002-0003,PRD1000,963.127,10,368,6,4,2,27.5755,0,368
PRD1000-260421002-0003,PRD1000,963.127,30,368,6,4,2,27.5755,0,368
PRD1000-260421002-0004,PRD1000,968.522,5,301,6,4,2,56.6414,0,301
PRD1000-260421002-0004,PRD1000,968.522,10,560,6,4,4,49.8862,0,560
PRD1000-260421002-0004,PRD1000,968.522,30,689,6,4,5,47.107,0,689
PRD1000-260423002-0001,PRD1000,748.927,5,277,6,4,4,25.764000000000003,0,277
PRD1000-260423002-0001,PRD1000,748.927,10,471,6,4,5,25.962600000000002,0,471
PRD1000-260423002-0001,PRD1000,748.927,30,1081,6,4,5,25.962600000000002,0,1081
PRD1000-260424002-0002,PRD1000,1260.519,5,584,2,2,0,0.0,0,584
PRD1000-260424002-0002,PRD1000,1260.519,10,1167,2,2,0,0.0,0,1167
PRD1000-260424002-0002,PRD1000,1260.519,30,3501,2,2,0,0.0,0,3501
PRD1000-260428005-0001,PRD1000,1726.317,5,167,3,3,0,0.0,0,167
PRD1000-260428005-0001,PRD1000,1726.317,10,459,3,3,0,0.0,0,459
PRD1000-260428005-0001,PRD1000,1726.317,30,684,3,4,0,0.0,0,684
PRD1000-260430001-0003,PRD1000,772.551,5,341,4,4,4,33.1613,0,341
PRD1000-260430001-0003,PRD1000,772.551,10,544,4,4,10,379.34649999999993,0,544
PRD1000-260430001-0003,PRD1000,772.551,30,1832,6,4,30,379.3465000000002,0,1832
PRD1000-260506002-0002,PRD1000,693.751,5,222,3,4,1,28.369,0,222
PRD1000-260506002-0002,PRD1000,693.751,10,414,4,4,4,27.6871,0,414
PRD1000-260506002-0002,PRD1000,693.751,30,2640,4,4,4,27.6871,0,2640
PRD2000-260223013-0001,PRD2000,721.174,5,379,4,3,4,28.0225,0,379
PRD2000-260223013-0001,PRD2000,721.174,10,620,5,3,8,153.59339999999995,0,620
