CMP_EQ_ID,logical_process,equipment_name,count_raw,count_clean,mean_sec_raw,median_sec_raw,p90_sec_raw,max_sec_raw,mean_sec_clean,median_sec_clean,p90_sec_clean,max_sec_clean,outlier_count
EQ06,A4,A4 사상제거 & 레이저마킹 CELL,152,100,620.0811842105263,482.5815,989.8691000000001,3492.693,412.61965999999995,413.502,554.7967,597.553,52
EQ13,A9_1,A9-1 코어검사_볼트체결,60,54,437.36080000000004,364.816,590.5749000000001,1476.074,372.9507037037037,344.28049999999996,458.36990000000003,588.493,6
EQ10,A7,A7 동리벳_인서트압입,202,177,447.87264356435645,257.294,653.7805000000001,6007.819,270.9065988700565,238.514,419.9076,581.203,25
EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,212,202,221.59068867924526,178.3295,348.83930000000004,1742.62,195.6330792079208,176.558,326.8739,441.803,10
EQ09,A6_KONA,A6 드릴 및 TAP - 코나,84,77,912.9739999999999,172.6735,353.4282,54172.687,179.69677922077923,165.163,299.38419999999996,374.338,7
EQ08,A6_TESLA,A6 드릴 및 TAP - 테슬라,59,57,181.89554237288135,154.006,267.00680000000006,1536.58,153.9424210526316,151.155,234.96659999999997,361.461,2
EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,223,203,2099.3032062780267,70.831,302.6456000000001,436424.741,98.60017733990148,69.873,192.92900000000017,309.687,20
EQ03,A1,A1 소재 공급,258,229,271.86146124031006,67.892,338.0193000000001,16602.401,76.91130567685589,58.372,170.07240000000004,304.835,29
EQ14,AMR_LD250,AMR_LD250,79,63,310.47039240506336,135.501,190.88060000000016,4732.411,133.6817142857143,133.222,140.1716,150.243,16
EQ02,AMR_LD90,AMR_LD90,227,177,737.1139471365639,85.331,1434.0598000000007,18298.452,92.34602259887004,79.344,123.8448,271.186,50
EQ11,A8,A8 핸들_룸미러 조립 공정,113,95,163.22426548672567,64.152,99.48639999999997,7111.787,59.479273684210526,63.836,64.6618,68.332,18
EQ05,A3,A3 완제품 및 NG 배출부,161,142,202.67955279503107,59.475,72.116,22410.802,59.005739436619734,59.1415,62.2132,64.87,19
EQ01,C1_RAW_STORAGE,C1 원자재 창고,294,237,147.2478231292517,31.8275,153.87939999999998,19209.961,31.606632911392403,30.545,41.118,61.91,57
EQ15,C2_FINISHED_STORAGE,C2 완제품 창고,44,44,21.461363636363636,22.9185,26.687600000000003,31.697,21.461363636363636,22.9185,26.687600000000003,31.697,0
EQ04,A2,A2 수입 검사,255,227,4.025984313725491,2.222,2.4530000000000003,198.544,2.185466960352423,2.153,2.246,2.36,28
