PRD_CD,PRD_SRL_NO,route,normalized_route,step_count,normalized_step_count,normal_route_flag,filter_reason
PRD1000,PRD1000-260211039-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A4 > A5 > A7 > AMR_LD250,C1_RAW_STORAGE > A1 > A2 > A4 > A5 > A7,8,6,False,deviates_from_product_normal_route
PRD1000,PRD1000-260211040-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A4 > A5 > A6_KONA > A7 > A8 > A9_2 > AMR_LD250,C1_RAW_STORAGE > A1 > A2 > A4 > A5 > A6_KONA > A7 > A8 > A9_2,11,9,False,deviates_from_product_normal_route
PRD1000,PRD1000-260304001-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A4 > A6_KONA > A7 > A9_2 > A8 > A9_2 > A3 > AMR_LD250,C1_RAW_STORAGE > A1 > A2 > A4 > A6_KONA > A7 > A9_2 > A8 > A9_2 > A3,12,10,False,deviates_from_product_normal_route
PRD1000,PRD1000-260331007-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,6,5,False,deviates_from_product_normal_route
PRD1000,PRD1000-260331008-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3,C1_RAW_STORAGE > A1 > A2 > A3,5,4,False,deviates_from_product_normal_route
PRD1000,PRD1000-260331009-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3,C1_RAW_STORAGE > A1 > A2 > A3,5,4,False,deviates_from_product_normal_route
PRD1000,PRD1000-260402001-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,6,5,False,deviates_from_product_normal_route
PRD1000,PRD1000-260402002-0001,C1_RAW_STORAGE > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,5,5,False,deviates_from_product_normal_route
PRD1000,PRD1000-260407009-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,6,5,False,deviates_from_product_normal_route
PRD1000,PRD1000-260407010-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3,C1_RAW_STORAGE > A1 > A2 > A3,5,4,False,deviates_from_product_normal_route
PRD1000,PRD1000-260421001-0002,C1_RAW_STORAGE > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,5,5,False,deviates_from_product_normal_route
PRD1000,PRD1000-260426001-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,6,5,False,deviates_from_product_normal_route
PRD1000,PRD1000-260504001-0003,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,6,5,False,deviates_from_product_normal_route
PRD2000,PRD2000-260211034-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A4 > A6_TESLA > AMR_LD250,C1_RAW_STORAGE > A1 > A2 > A4 > A6_TESLA,7,5,False,deviates_from_product_normal_route
PRD2000,PRD2000-260211037-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A4 > A5 > A3,C1_RAW_STORAGE > A1 > A2 > A4 > A5 > A3,7,6,False,deviates_from_product_normal_route
PRD2000,PRD2000-260212017-0001,C1_RAW_STORAGE > AMR_LD90 > A1 > A2 > A3 > A3,C1_RAW_STORAGE > A1 > A2 > A3 > A3,6,5,False,deviates_from_product_normal_route
