family_rank,product_family,process,processing_count,processing_p90_sec,wait_from_p90,wait_to_p90,waiting_p90_sec,wip_p90,occupancy_p90_sec,alarm_ratio,bottleneck_score
1,HANDLE,A3,94,61.336400000000005,1243.7313000000017,39.370000000000005,1243.7313000000017,73.1,2567.898800000002,0.0,5.062394520042792
2,HANDLE,A4,100,554.7967,32.7568,78.5725,78.5725,0.0,2747.221,0.0,1.9388328295622699
3,HANDLE,A9_2,203,192.92900000000017,930.583,162.47520000000006,930.583,0.0,3133.281,0.0001829282235382,1.7762824541782434
4,HANDLE,AMR_LD90,121,128.156,13.540000000000001,173.9441,173.9441,0.0,0.0,0.07944630813863,1.2420040205392442
5,HANDLE,A7,123,414.7142,162.47520000000006,29.3819,162.47520000000006,0.0,2420.125,0.0,0.9758612000219771
6,HANDLE,A5,143,334.79200000000003,32.7456,32.7568,32.7568,0.0,2680.034,0.0,0.37983832483274477
7,HANDLE,A1,166,167.7475,24.2784,344.37630000000024,344.37630000000024,0.0,2072.3050000000003,0.0088035842224757,-0.04031913980897095
8,HANDLE,AMR_LD250,47,137.529,53.2703,1243.7313000000017,1243.7313000000017,0.0,0.0,0.001762068194669,-0.20102117569587974
9,HANDLE,A6_TESLA,57,234.96659999999997,29.2447,32.7456,32.7456,0.0,2742.3305,0.0,-0.21188435396751565
10,HANDLE,C2_FINISHED_STORAGE,24,27.0527,,1030.19,1030.19,1.0,0.0,7.663053083946275e-05,-1.4021886935801104
11,HANDLE,A2,163,2.2492,78.5725,24.2784,78.5725,0.0,2627.2052000000003,0.0,-1.6895315611771464
12,HANDLE,A6_KONA,77,299.38419999999996,29.3819,32.505,32.505,0.0,0.0,0.0,-1.8839493098630977
13,HANDLE,C1_RAW_STORAGE,177,41.8158,344.37630000000024,,344.37630000000024,0.0,0.0,0.0,-2.855031492415551
14,HANDLE,A8,95,64.6618,21.8614,27.7716,27.7716,0.0,0.0,0.0062006626115043,-3.0912876226689985
1,ROOM_MIRROR,A3,48,62.278,3060.357,54.3974,3060.357,73.1,2567.898800000002,0.0,4.323620524942498
2,ROOM_MIRROR,A7,54,445.5224,635.7138,135.7908,635.7138,0.0,2420.125,0.0,1.3106102312152283
3,ROOM_MIRROR,A9_1,54,458.36990000000003,54.3974,71.511,71.511,0.0,2776.695900000001,0.0005489731706376,1.2475398171731127
4,ROOM_MIRROR,A5,59,289.80420000000004,71.511,635.7138,635.7138,0.0,2680.034,0.0,0.5497869748133692
5,ROOM_MIRROR,AMR_LD90,56,122.6875,13.6424,174.2675,174.2675,0.0,0.0,0.07944630813863,0.36109724505907703
6,ROOM_MIRROR,AMR_LD250,16,141.068,53.3027,3060.357,3060.357,0.0,0.0,0.001762068194669,-0.5051930103635689
7,ROOM_MIRROR,A1,63,173.08040000000003,23.8446,225.126,225.126,0.0,2072.3050000000003,0.0088035842224757,-0.6186904858006597
8,ROOM_MIRROR,C2_FINISHED_STORAGE,20,23.0652,,2863.5038000000004,2863.5038000000004,1.0,0.0,7.663053083946275e-05,-1.4227506702101829
9,ROOM_MIRROR,A2,64,2.2434000000000003,135.7908,23.8446,135.7908,0.0,2627.2052000000003,0.0,-1.681947124030816
10,ROOM_MIRROR,C1_RAW_STORAGE,60,26.259400000000003,225.126,,225.126,0.0,0.0,0.0,-3.564073502798055
