type,PRD_SRL_NO,CMP_EQ_ID,REG_DT
END_WITHOUT_STR,PRD1000-260211029-0001,EQ01,2026-02-11 15:02:40.304
END_WITHOUT_STR,PRD1000-260211036-0001,EQ06,2026-02-11 16:40:01.935
END_WITHOUT_STR,PRD1000-260211036-0001,EQ07,2026-02-11 16:47:16.291
END_WITHOUT_STR,PRD1000-260211036-0001,EQ08,2026-02-11 16:47:42.177
END_WITHOUT_STR,PRD1000-260211039-0001,EQ09,2026-02-11 18:06:07.622
END_WITHOUT_STR,PRD1000-260211039-0001,EQ12,2026-02-11 18:55:12.851
END_WITHOUT_STR,PRD1000-260304001-0001,EQ07,2026-03-04 14:33:53.755
END_WITHOUT_STR,PRD1000-260306005-0001,EQ01,2026-03-06 17:05:49.032
END_WITHOUT_STR,PRD1000-260306006-0001,EQ01,2026-03-06 17:10:37.064
END_WITHOUT_STR,PRD1000-260306006-0001,EQ02,2026-03-06 15:46:00.267
END_WITHOUT_STR,PRD1000-260311001-0001,EQ01,2026-03-11 10:21:27.867
END_WITHOUT_STR,PRD1000-260311001-0002,EQ01,2026-03-11 10:16:03.586
END_WITHOUT_STR,PRD1000-260311008-0001,EQ01,2026-03-11 11:12:20.510
END_WITHOUT_STR,PRD1000-260311014-0001,EQ01,2026-03-11 13:13:45.473
END_WITHOUT_STR,PRD1000-260311014-0001,EQ02,2026-03-11 11:09:48.271
END_WITHOUT_STR,PRD1000-260311018-0001,EQ01,2026-03-11 14:37:55.271
END_WITHOUT_STR,PRD1000-260311020-0001,EQ01,2026-03-11 16:06:35.737
END_WITHOUT_STR,PRD1000-260311020-0001,EQ02,2026-03-11 15:18:32.328
END_WITHOUT_STR,PRD1000-260311023-0001,EQ01,2026-03-11 17:19:15.502
END_WITHOUT_STR,PRD1000-260311023-0002,EQ01,2026-03-11 16:59:41.402
END_WITHOUT_STR,PRD1000-260311025-0001,EQ01,2026-03-11 17:05:13.217
END_WITHOUT_STR,PRD1000-260311027-0001,EQ01,2026-03-11 18:30:09.947
END_WITHOUT_STR,PRD1000-260311027-0001,EQ02,2026-03-11 17:34:59.561
END_WITHOUT_STR,PRD1000-260311027-0002,EQ01,2026-03-11 18:23:01.533
END_WITHOUT_STR,PRD1000-260311031-0001,EQ01,2026-03-11 18:57:53.607
END_WITHOUT_STR,PRD1000-260311031-0002,EQ01,2026-03-11 18:41:08.155
END_WITHOUT_STR,PRD1000-260312003-0001,EQ01,2026-03-12 17:05:59.236
END_WITHOUT_STR,PRD1000-260312003-0002,EQ01,2026-03-12 16:59:17.169
END_WITHOUT_STR,PRD1000-260312003-0002,EQ02,2026-03-12 15:32:21.620
END_WITHOUT_STR,PRD1000-260312008-0001,EQ01,2026-03-12 17:11:32.862
END_WITHOUT_STR,PRD1000-260325004-0001,EQ01,2026-03-25 17:01:23.373
END_WITHOUT_STR,PRD1000-260331007-0001,EQ01,2026-03-31 15:59:59.939
END_WITHOUT_STR,PRD1000-260402001-0001,EQ01,2026-04-02 11:48:46.818
END_WITHOUT_STR,PRD1000-260402002-0001,EQ01,2026-04-02 12:00:20.829
END_WITHOUT_STR,PRD1000-260402002-0001,EQ02,2026-04-02 11:53:48.690
END_WITHOUT_STR,PRD1000-260407009-0001,EQ01,2026-04-07 17:50:00.577
END_WITHOUT_STR,PRD1000-260409001-0001,EQ02,2026-04-09 13:23:48.155
END_WITHOUT_STR,PRD1000-260414002-0001,EQ01,2026-04-14 17:55:09.340
END_WITHOUT_STR,PRD1000-260416001-0001,EQ02,2026-04-16 14:04:50.627
END_WITHOUT_STR,PRD1000-260421001-0002,EQ01,2026-04-21 17:18:45.598
END_WITHOUT_STR,PRD1000-260421002-0001,EQ02,2026-04-21 17:38:06.021
END_WITHOUT_STR,PRD1000-260423008-0002,EQ02,2026-04-23 13:45:33.716
END_WITHOUT_STR,PRD1000-260430001-0002,EQ01,2026-04-30 14:39:04.276
END_WITHOUT_STR,PRD1000-260504001-0001,EQ01,2026-05-04 12:26:27.679
END_WITHOUT_STR,PRD1000-260504001-0003,EQ01,2026-05-04 11:09:16.665
END_WITHOUT_STR,PRD2000-260211030-0001,EQ04,2026-02-11 15:21:45.625
END_WITHOUT_STR,PRD2000-260211030-0001,EQ06,2026-02-11 15:22:15.158
END_WITHOUT_STR,PRD2000-260211034-0001,EQ05,2026-02-12 10:11:57.227
END_WITHOUT_STR,PRD2000-260211034-0001,EQ07,2026-02-11 16:30:45.149
END_WITHOUT_STR,PRD2000-260211037-0001,EQ01,2026-02-12 10:48:58.045
END_WITHOUT_STR,PRD2000-260211037-0001,EQ08,2026-02-11 16:55:33.069
END_WITHOUT_STR,PRD2000-260211037-0001,EQ14,2026-02-12 10:48:16.351
END_WITHOUT_STR,PRD2000-260211038-0001,EQ05,2026-02-12 10:26:28.127
END_WITHOUT_STR,PRD2000-260211038-0001,EQ08,2026-02-11 17:44:31.732
