bucket_5min,rail_event_count,rail_product_count,rail_qnt_sum,rail_qnt_mean,active_rail_count,a4_rail_event_count,a4_rail_qnt_sum,HANDLE,ROOM_MIRROR
2026-02-12 20:45:00,30,2,0,0.0,4,8,0.0,30,0
2026-02-13 08:55:00,126,3,0,0.0,4,21,0.0,114,12
2026-02-13 09:00:00,230,3,0,0.0,4,27,0.0,197,33
2026-02-13 09:05:00,231,3,0,0.0,4,26,0.0,202,29
2026-02-13 09:10:00,229,3,0,0.0,4,34,0.0,202,27
2026-02-13 09:15:00,217,3,0,0.0,4,25,0.0,189,28
2026-02-13 09:20:00,248,3,0,0.0,4,25,0.0,215,33
2026-02-13 09:25:00,230,3,0,0.0,4,27,0.0,200,30
2026-02-13 09:30:00,246,3,0,0.0,4,38,0.0,220,26
2026-02-13 09:35:00,230,3,0,0.0,4,27,0.0,203,27
2026-02-13 09:40:00,219,3,0,0.0,4,24,0.0,184,35
2026-02-13 09:45:00,219,3,0,0.0,4,24,0.0,193,26
2026-02-13 09:50:00,228,3,0,0.0,4,34,0.0,203,25
2026-02-13 09:55:00,221,3,0,0.0,4,27,0.0,195,26
2026-02-13 10:00:00,220,3,0,0.0,4,25,0.0,190,30
2026-02-13 10:05:00,227,3,0,0.0,4,24,0.0,196,31
2026-02-13 10:10:00,233,5,28,0.12017167381974249,4,48,13.0,207,26
2026-02-13 10:15:00,281,5,81,0.28825622775800713,4,122,54.0,265,16
2026-02-13 10:20:00,211,5,23,0.10900473933649289,4,56,0.0,201,10
2026-02-13 10:25:00,262,5,74,0.2824427480916031,4,54,22.0,218,44
2026-02-13 10:30:00,304,6,84,0.27631578947368424,4,47,16.0,264,40
2026-02-13 10:35:00,262,5,91,0.3473282442748092,4,38,21.0,178,84
2026-02-13 10:40:00,337,5,87,0.258160237388724,4,22,10.0,183,154
2026-02-13 10:45:00,317,5,109,0.3438485804416404,4,19,0.0,183,134
2026-02-13 10:50:00,320,5,87,0.271875,4,22,3.0,108,212
2026-02-13 10:55:00,272,5,98,0.3602941176470588,4,46,19.0,186,86
2026-02-13 11:00:00,171,3,50,0.29239766081871343,4,53,21.0,115,56
2026-02-13 11:05:00,224,3,49,0.21875,4,19,3.0,98,126
2026-02-13 11:10:00,57,1,6,0.10526315789473684,4,0,0.0,57,0
2026-02-13 11:15:00,201,5,81,0.40298507462686567,4,46,18.0,169,32
2026-02-13 11:20:00,240,4,60,0.25,4,54,21.0,144,96
2026-02-13 11:25:00,259,4,138,0.5328185328185329,4,12,3.0,193,66
2026-02-13 11:30:00,237,3,102,0.43037974683544306,4,18,3.0,169,68
2026-02-13 11:35:00,248,4,52,0.20967741935483872,4,21,0.0,140,108
2026-02-13 11:40:00,285,4,39,0.1368421052631579,4,59,12.0,176,109
2026-02-13 11:45:00,109,4,33,0.30275229357798167,4,52,22.0,105,4
2026-02-23 13:25:00,63,1,24,0.38095238095238093,3,30,12.0,63,0
2026-02-23 13:30:00,170,2,61,0.3588235294117647,3,119,48.0,170,0
2026-02-23 13:35:00,203,2,72,0.35467980295566504,3,88,43.0,203,0
2026-02-23 13:40:00,269,2,68,0.2527881040892193,3,10,0.0,269,0
2026-02-23 13:45:00,152,2,43,0.28289473684210525,3,18,3.0,152,0
2026-02-23 13:50:00,174,2,47,0.27011494252873564,3,21,6.0,174,0
2026-02-23 13:55:00,157,2,0,0.0,3,25,0.0,157,0
2026-02-23 14:00:00,182,2,15,0.08241758241758242,3,22,0.0,182,0
2026-02-23 14:05:00,154,1,0,0.0,3,21,0.0,154,0
2026-02-23 14:10:00,143,1,0,0.0,3,18,0.0,143,0
2026-02-23 14:15:00,186,2,28,0.15053763440860216,3,46,12.0,186,0
2026-02-23 14:20:00,223,4,110,0.49327354260089684,3,96,79.0,223,0
2026-02-23 14:25:00,236,3,43,0.18220338983050846,3,165,32.0,236,0
2026-02-23 14:30:00,300,4,83,0.27666666666666667,3,103,30.0,300,0
2026-02-23 14:35:00,257,4,71,0.27626459143968873,3,26,14.0,257,0
