PRD_SRL_NO,PRD_CD,from_eq,from_process,from_name,to_eq,to_process,to_name,from_end_time,to_start_time,waiting_sec,negative_wait_flag
PRD1000-260211036-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-11 16:37:11.477,2026-02-11 16:37:34.907,23.43,False
PRD1000-260211036-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-11 16:38:42.038,2026-02-11 16:38:54.745,12.707,False
PRD1000-260211036-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-11 16:39:11.701,2026-02-11 16:39:33.361,21.66,False
PRD1000-260211036-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ14,AMR_LD250,AMR_LD250,2026-02-11 16:39:35.486,2026-02-11 20:09:00.067,12564.581,False
PRD1000-260211041-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-11 19:41:56.301,2026-02-11 19:42:33.398,37.097,False
PRD1000-260211041-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-11 19:43:52.892,2026-02-11 19:44:05.269,12.377,False
PRD1000-260211041-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-11 19:44:22.105,2026-02-11 19:44:43.371,21.266,False
PRD1000-260211041-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-11 19:44:47.356,2026-02-11 19:45:14.738,27.382,False
PRD1000-260211041-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-11 19:49:45.983,2026-02-11 19:50:19.053,33.07,False
PRD1000-260211041-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-11 19:53:15.459,2026-02-11 19:53:42.962,27.503,False
PRD1000-260211041-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-11 19:54:45.680,2026-02-11 19:55:10.176,24.496,False
PRD1000-260211041-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-11 19:57:36.843,2026-02-11 19:58:17.363,40.52,False
PRD1000-260211041-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-11 19:58:52.245,2026-02-11 19:59:12.091,19.846,False
PRD1000-260211041-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-11 20:00:15.222,2026-02-11 20:00:37.371,22.149,False
PRD1000-260212003-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ03,A1,A1 소재 공급,2026-02-12 09:51:49.690,2026-02-12 09:53:35.942,106.252,False
PRD1000-260212003-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-12 09:55:51.624,2026-02-12 09:56:12.996,21.372,False
PRD1000-260212003-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-12 09:56:15.122,2026-02-12 09:56:42.475,27.353,False
PRD1000-260212003-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-12 10:02:06.748,2026-02-12 10:02:38.631,31.883,False
PRD1000-260212003-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-12 10:05:35.341,2026-02-12 10:06:01.821,26.48,False
PRD1000-260212003-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-12 10:09:27.408,2026-02-12 10:09:52.411,25.003,False
PRD1000-260212003-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 10:14:14.276,2026-02-12 10:14:57.058,42.782,False
PRD1000-260212003-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-12 10:15:46.632,2026-02-12 10:16:06.949,20.317,False
PRD1000-260212003-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 10:17:10.423,2026-02-12 10:17:32.877,22.454,False
PRD1000-260212003-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ14,AMR_LD250,AMR_LD250,2026-02-12 10:21:58.119,2026-02-12 10:37:28.702,930.583,False
PRD1000-260212006-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-12 10:52:06.713,2026-02-12 10:52:32.639,25.926,False
PRD1000-260212006-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-12 10:55:17.404,2026-02-12 10:55:30.184,12.78,False
PRD1000-260212006-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-12 10:55:53.137,2026-02-12 10:56:15.146,22.009,False
PRD1000-260212006-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-12 10:56:17.289,2026-02-12 10:56:43.939,26.65,False
PRD1000-260212006-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-12 11:01:56.343,2026-02-12 11:02:27.735,31.392,False
PRD1000-260212006-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-12 11:05:09.682,2026-02-12 11:05:36.691,27.009,False
PRD1000-260212006-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-12 11:08:10.314,2026-02-12 11:08:34.226,23.912,False
PRD1000-260212006-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 11:11:46.853,2026-02-12 11:12:27.593,40.74,False
PRD1000-260212006-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-12 11:13:02.510,2026-02-12 11:13:22.615,20.105,False
PRD1000-260212006-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 11:14:25.886,2026-02-12 11:14:48.218,22.332,False
PRD1000-260212006-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-12 11:17:43.772,2026-02-12 11:18:21.310,37.538,False
PRD1000-260212009-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-12 11:08:58.676,2026-02-12 11:10:18.604,79.928,False
PRD1000-260212009-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-12 11:11:26.964,2026-02-12 11:11:38.870,11.906,False
PRD1000-260212009-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-12 11:12:46.110,2026-02-12 11:13:09.093,22.983,False
PRD1000-260212009-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-12 11:13:11.336,2026-02-12 11:14:23.857,72.521,False
PRD1000-260212009-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-12 11:22:02.013,2026-02-12 11:22:33.571,31.558,False
PRD1000-260212009-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-12 11:26:02.292,2026-02-12 11:26:29.449,27.157,False
PRD1000-260212009-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-12 11:29:24.868,2026-02-12 11:29:49.746,24.878,False
PRD1000-260212009-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 11:33:19.746,2026-02-12 11:34:01.103,41.357,False
PRD1000-260212009-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-12 11:34:36.083,2026-02-12 11:34:55.994,19.911,False
PRD1000-260212009-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 11:40:27.420,2026-02-12 11:40:50.109,22.689,False
PRD1000-260212009-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-12 11:42:32.636,2026-02-12 11:43:08.695,36.059,False
PRD1000-260212009-0001,PRD1000,EQ05,A3,A3 완제품 및 NG 배출부,EQ14,AMR_LD250,AMR_LD250,2026-02-12 11:44:08.289,2026-02-12 11:47:06.407,178.118,False
PRD1000-260212021-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-12 20:08:20.629,2026-02-12 20:08:51.070,30.441,False
PRD1000-260212021-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-12 20:09:59.456,2026-02-12 20:10:12.217,12.761,False
PRD1000-260212021-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-12 20:10:29.036,2026-02-12 20:10:53.192,24.156,False
PRD1000-260212021-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-12 20:10:55.315,2026-02-12 20:11:23.914,28.599,False
PRD1000-260212021-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-12 20:16:33.172,2026-02-12 20:17:06.172,33.0,False
PRD1000-260212021-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-12 20:20:00.112,2026-02-12 20:20:27.671,27.559,False
PRD1000-260212021-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-12 20:23:07.229,2026-02-12 20:23:30.861,23.632,False
PRD1000-260212021-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 20:26:03.947,2026-02-12 20:26:45.828,41.881,False
PRD1000-260212021-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-12 20:27:20.838,2026-02-12 20:27:41.459,20.621,False
PRD1000-260212021-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-12 20:28:45.058,2026-02-12 20:29:06.767,21.709,False
PRD1000-260212021-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-12 20:31:32.601,2026-02-12 20:32:09.309,36.708,False
PRD1000-260213008-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-13 11:04:56.894,2026-02-13 11:05:58.957,62.063,False
PRD1000-260213008-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-13 11:08:27.484,2026-02-13 11:08:40.172,12.688,False
PRD1000-260213008-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-13 11:15:20.014,2026-02-13 11:15:41.978,21.964,False
PRD1000-260213008-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-13 11:15:44.118,2026-02-13 11:16:10.853,26.735,False
PRD1000-260213008-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-13 11:21:55.618,2026-02-13 11:22:36.192,40.574,False
PRD1000-260213008-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-13 11:26:01.740,2026-02-13 11:26:28.705,26.965,False
PRD1000-260213008-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-13 11:32:43.043,2026-02-13 11:33:07.447,24.404,False
PRD1000-260213008-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-13 11:36:20.513,2026-02-13 11:37:01.561,41.048,False
PRD1000-260213008-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-13 11:37:36.528,2026-02-13 11:37:57.854,21.326,False
PRD1000-260213008-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-13 11:39:01.378,2026-02-13 11:39:24.198,22.82,False
PRD1000-260213008-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-13 11:42:09.116,2026-02-13 11:42:45.020,35.904,False
PRD1000-260213010-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-13 11:37:17.631,2026-02-13 11:37:44.729,27.098,False
