from_eq,from_process,to_eq,to_process,transition,count,mean_wait_sec,median_wait_sec,p90_wait_sec,max_wait_sec,count_clean,mean_wait_sec_clean,median_wait_sec_clean,p90_wait_sec_clean,max_wait_sec_clean,outlier_count
EQ05,A3,EQ15,C2_FINISHED_STORAGE,A3->C2_FINISHED_STORAGE,10,10529.692500000001,7339.3305,19278.602499999994,36195.313,4,1357.6335,822.3045,2707.0995000000003,3425.775,6
EQ05,A3,EQ14,AMR_LD250,A3->AMR_LD250,76,4936.785894736842,215.556,14954.0285,51986.488,50,506.28138,167.511,1628.3830000000005,3303.325,26
EQ12,A9_2,EQ14,AMR_LD250,A9_2->AMR_LD250,1,930.583,930.583,930.583,930.583,1,930.583,930.583,930.583,930.583,0
EQ10,A7,EQ07,A5,A7->A5,65,491.1931846153846,402.035,734.5408000000002,1932.338,60,412.0300833333334,383.7455,635.7138,784.568,5
EQ01,C1_RAW_STORAGE,EQ03,A1,C1_RAW_STORAGE->A1,49,694.920224489796,153.961,2042.3022000000071,6342.22,42,176.8204523809524,140.7905,350.23369999999994,569.779,7
EQ01,C1_RAW_STORAGE,EQ02,AMR_LD90,C1_RAW_STORAGE->AMR_LD90,227,212.71866519823786,58.202,189.5278,19541.656,216,77.47810648148149,55.695,174.20350000000002,357.425,11
EQ10,A7,EQ12,A9_2,A7->A9_2,117,219.6844871794872,41.881,533.4836,3085.895,100,69.82163,40.1635,162.47520000000006,350.435,17
EQ04,A2,EQ10,A7,A2->A7,67,182.78646268656715,84.28,238.14619999999996,2279.222,57,94.95614035087719,83.172,135.7908,197.577,10
EQ04,A2,EQ06,A4,A2->A4,152,75.77175657894736,31.482999999999997,164.53720000000015,1542.288,134,41.87291044776119,30.0235,78.5725,118.642,18
EQ07,A5,EQ13,A9_1,A5->A9_1,60,108.86376666666666,69.29599999999999,184.0292,812.416,51,68.33641176470589,68.599,71.511,75.192,9
EQ13,A9_1,EQ05,A3,A9_1->A3,60,78.90706666666667,52.4815,105.78950000000002,880.329,47,52.0378085106383,51.909,54.3974,60.322,13
EQ14,AMR_LD250,EQ15,C2_FINISHED_STORAGE,AMR_LD250->C2_FINISHED_STORAGE,34,50.91161764705883,46.954,70.83809999999998,103.184,30,45.422766666666675,46.06,53.3702,53.749,4
EQ12,A9_2,EQ05,A3,A9_2->A3,101,75.15409900990099,37.554,194.14,388.152,77,37.81245454545454,36.936,39.370000000000005,54.898,24
EQ06,A4,EQ07,A5,A4->A5,147,31.35546258503401,22.152,33.6024,218.65,138,25.205942028985508,22.058,32.7568,46.156,9
EQ07,A5,EQ08,A6_TESLA,A5->A6_TESLA,59,29.988423728813558,27.446,33.2442,78.392,57,28.50454385964912,27.442,32.7456,37.205,2
EQ07,A5,EQ09,A6_KONA,A5->A6_KONA,84,46.520226190476194,27.395,32.5704,1477.882,81,28.19904938271605,27.304,32.505,33.592,3
EQ09,A6_KONA,EQ10,A7,A6_KONA->A7,78,60.95292307692307,26.868499999999997,34.36419999999998,1106.955,70,26.841257142857142,26.7215,29.3819,32.683,8
EQ08,A6_TESLA,EQ10,A7,A6_TESLA->A7,57,83.72992982456141,27.928,98.26139999999995,1431.748,44,26.843022727272725,26.729999999999997,29.2447,38.043,13
EQ12,A9_2,EQ11,A8,A9_2->A8,113,28.676884955752215,27.161,50.816199999999995,58.903,95,24.34782105263158,26.829,27.7716,31.62,18
EQ03,A1,EQ04,A2,A1->A2,255,23.780960784313724,22.812,24.4116,116.553,242,22.721520661157026,22.786,24.0171,25.383,13
EQ11,A8,EQ12,A9_2,A8->A9_2,106,24.078122641509434,21.073,21.877499999999998,363.355,105,20.846914285714284,21.072,21.8614,22.82,1
EQ02,AMR_LD90,EQ03,A1,AMR_LD90->A1,209,34.553464114832536,12.357,13.675000000000002,4741.242,199,11.099457286432163,12.325,13.5698,15.258,10
EQ04,A2,EQ14,AMR_LD250,A2->AMR_LD250,1,12564.581,12564.581,12564.581,12564.581,0,,,,,1
EQ07,A5,EQ14,AMR_LD250,A5->AMR_LD250,1,60391.481,60391.481,60391.481,60391.481,0,,,,,1
