event_time,area,source_table,PRD_SRL_NO,PRD_CD,CMP_EQ_ID,STRG_CD,SLOT_NM,delta,wip
2026-02-12 10:09:09.298,BUFFER,strg_buf_in,PRD3002-260212002-0001,PRD3002,EQ05,SR03,0,1,1
2026-02-12 10:23:39.605,BUFFER,strg_buf_in,PRD1000-260212003-0001,PRD1000,EQ05,SR03,0,1,2
2026-02-12 10:34:18.864,BUFFER,strg_buf_in,PRD2000-260212004-0001,PRD2000,EQ05,SR03,0,1,3
2026-02-12 10:42:45.905,BUFFER,strg_buf_in,PRD2000-260212005-0001,PRD2000,EQ05,SR03,0,1,4
2026-02-12 11:19:20.889,BUFFER,strg_buf_in,PRD1000-260212006-0001,PRD1000,EQ05,SR03,0,1,5
2026-02-12 11:35:33.201,BUFFER,strg_buf_in,PRD2000-260212008-0001,PRD2000,EQ05,SR03,0,1,6
2026-02-12 11:44:07.811,BUFFER,strg_buf_in,PRD1000-260212009-0001,PRD1000,EQ05,SR03,0,1,7
2026-02-12 15:11:44.979,BUFFER,strg_buf_in,PRD3001-260212011-0001,PRD3001,EQ05,SR03,1,1,8
2026-02-12 15:32:56.695,BUFFER,strg_buf_in,PRD3001-260212013-0001,PRD3001,EQ05,SR03,2,1,9
2026-02-12 16:18:59.691,BUFFER,strg_buf_in,PRD3002-260212014-0001,PRD3002,EQ05,SR03,3,1,10
2026-02-12 16:24:28.606,BUFFER,strg_buf_out,PRD3002-260212002-0001,PRD3002,EQ05,SR04,0,-1,9
2026-02-12 16:52:16.751,BUFFER,strg_buf_in,PRD3002-260212015-0001,PRD3002,EQ05,SR03,4,1,10
2026-02-12 17:16:01.963,BUFFER,strg_buf_in,PRD3002-260212016-0001,PRD3002,EQ05,SR03,5,1,11
2026-02-12 17:36:40.683,BUFFER,strg_buf_in,PRD2000-260212018-0001,PRD2000,EQ05,SR03,1,1,12
2026-02-12 17:37:38.888,BUFFER,strg_buf_in,PRD3001-260212019-0001,PRD3001,EQ05,SR03,6,1,13
2026-02-12 17:44:13.136,BUFFER,strg_buf_out,PRD2000-260212018-0001,PRD2000,EQ05,SR04,0,-1,12
2026-02-12 17:44:23.668,BUFFER,strg_buf_out,PRD3001-260212013-0001,PRD3001,EQ05,SR04,0,-1,11
2026-02-12 18:05:35.064,BUFFER,strg_buf_in,PRD2000-260212020-0001,PRD2000,EQ05,SR03,1,1,12
2026-02-12 19:29:13.836,BUFFER,strg_buf_out,PRD2000-260212020-0001,PRD2000,EQ05,SR04,0,-1,11
2026-02-12 19:29:22.142,BUFFER,strg_buf_out,PRD3002-260212014-0001,PRD3002,EQ05,SR04,0,-1,10
2026-02-12 19:41:36.763,BUFFER,strg_buf_out,PRD3002-260212015-0001,PRD3002,EQ05,SR04,0,-1,9
2026-02-12 20:07:43.203,BUFFER,strg_buf_out,PRD3002-260212016-0001,PRD3002,EQ05,SR04,0,-1,8
